series_id,series_name,former_names,category,governing_body,first_year,last_year,status,home_venue,country,region,disciplines,significance,sources,confidence,source_file
big-white-para-snowboard-world-cup,Big White Para Snowboard World Cup,World Para Snowboard World Cup Big White,tour-stop,FIS,,,active,Big White Ski Resort,Canada,north-america,boardercross | banked-slalom | team,"Big White's annual para-snowboard international, on the TELUS Park course near Kelowna. Big White has supported para snowboarding since 2012 and by the 2018-19 season was hosting for a seventh consecutive year; it also staged the 2017 World Para Snowboard Championships and the 2025 FIS Para Snowboard World Championships, the latter including the first team event in para snowboard history. Governance moved from the IPC to FIS during the period.",https://www.canadasnowboard.ca/en/news/?id=1147 | https://www.canadasnowboard.ca/en/news/?id=1258 | https://www.canadasnowboard.ca/en/news/?id=1259 | https://www.bigwhite.com/explore-big-white/blog/mountain-news/fis-pswc-25 | https://www.canadasnowboard.ca/en/news/?id=1213,verified,canada
blue-mountain-fis-snowboard-world-cup,Blue Mountain FIS Snowboard World Cup,,tour-stop,FIS,,,unconfirmed,Blue Mountain Resort,Canada,north-america,boardercross | team | parallel-giant-slalom,Ontario's World Cup venue at Collingwood. Hosted a team snowboardcross World Cup qualification event in February 2013 and a parallel giant slalom World Cup in 2020; also the host of the Canadian alpine national championships in 2018 and 2019.,https://www.fis-ski.com/DB/general/calendar-results.html?sectorcode=SB&seasoncode=2013&categorycode=WC&nationcode=CAN | https://olympic.ca/2019/10/24/winter-competitions-coming-to-canada-in-2019-20/ | https://www.canadasnowboard.ca/en/news/?id=1213 | https://www.canadasnowboard.ca/en/news/?id=1259,likely,canada
bomb-hole-cup,The Bomb Hole Cup,,grassroots-contest,independent,2022,,active,Brighton Resort,USA,north-america,banked-slalom | jib,"Two-day event at Brighton Resort, Utah, run with The Bomb Hole podcast: day one is a banked slalom on custom-built berms, day two an open-jam park showdown. Described as the fifth annual event in 2026; the 2027 edition is announced for April 3-4.",https://www.brightonresort.com/events/the-bomb-hole-cup | https://www.snowboard.international/features/north-america-snowboard-events-2025-26/ | https://thebombhole.com/blogs/bombhole-community/banked-slalom-bomb-hole-cup-2025-at-brighton-utah,likely,us-grassroots
bomber-banked-slalom,Bomber Banked Slalom,,grassroots-contest,independent,,,active,Mission Ridge Ski and Board Resort,USA,north-america,banked-slalom,"Community banked slalom at Mission Ridge, Washington, on the Katsuk run at the summit off Chair 2, built by the resort's park department. Capped at 250 snowboarders across 14 age and gender divisions including Open Pro and Pro Masters. The March 28-29, 2026 edition was billed as the 13th annual.",https://www.missionridge.com/event/bomber-banked-slalom/,likely,us-grassroots
bucket-banked-slalom,Bucket Banked Slalom,,grassroots-contest,independent,,,active,Winter Park Resort,USA,north-america,banked-slalom,"Banked slalom at Winter Park, Colorado run by the Winter Park Competition Center in memory of local rider and Comp Center alum Ben Lynch, as a fundraiser for the Grand Foundation's H.O.P.E. Fund. Two runs, best time counts; amateur age divisions plus adaptive and pro categories. Organisers state over $119,305 raised to date.",https://www.winterparkresort.com/things-to-do/competition-center/comp-center-events/bucket-banked-slalom,likely,us-grassroots
burton-australian-open,Burton Australian Open,,tour-stop,brand-run,,,unconfirmed,Perisher Blue,Australia,oceania,,"The Australian stop of the Burton Global Open Series, held at Perisher Blue in the Southern Hemisphere winter. Only the 2008 edition could be confirmed from a source opened for this pass.",https://whitelines.com/archive/news/burton-global-open-series-08-09.html,likely,burton-opens
burton-canadian-open,Burton Canadian Open Snowboarding Championships,,tour-stop,brand-run,,,unconfirmed,Canada Olympic Park,Canada,north-america,halfpipe | slopestyle,"The Canadian stop of the Burton Global Open Series, held at Canada Olympic Park in Calgary, Alberta and rated 5Star on the Swatch TTR World Snowboard Tour.",https://whitelines.com/archive/news/burton-global-open-series-08-09.html | https://onboardmag.com/news/snowboarding-events/burton-canadian-open-slopestyle.html | https://www.worldsnowboardfederation.org/registration-open-for-ttr-world-snowboard-tour-events/,likely,burton-opens
burton-european-open,Burton European Open,,major-contest,brand-run,1999,2015,defunct,Laax,multiple,europe,halfpipe | slopestyle,"Burton's European flagship and for most of its life the highest-rated (6Star) event on the Swatch TTR World Snowboard Tour in Europe. It began in the Innsbruck area of Austria, moved through Fieberbrunn and Livigno, and settled at Laax, Switzerland from 2005. Burton did not run the event for winter 2016 while re-evaluating its European platform, and the Laax Open took its place and its venue.",https://www.burton.com/blogs/the-burton-blog/10-years-laax-open/ | https://coolerlifestyle.com/news/events/burton-european-open-looks-back-at-ten-years-of-epic-snowboarding.html | https://coolerlifestyle.com/news/events/the-burton-european-open.html | https://onboardmag.com/news/european-news/laax-set-to-host-laax-open-2016.html | https://whitelines.com/events/burton-european-open,verified,burton-opens
burton-global-open-series,Burton Global Open Series,,tour-series,brand-run,2006,2011,defunct,,multiple,global,halfpipe | slopestyle | quarterpipe | big-air | rail-jam,"The umbrella that linked Burton's national Open events into one ranked season, with an overall series title decided at the US Open. Member events across the seasons documented here were the Burton New Zealand Open, Burton Australian Open, Burton Canadian Open, Burton European Open, the Nissan X-Trail Nippon Open in Japan and the Burton US Open. Series champions received USD 100,000 each, described at the time as the largest single payout in competitive snowboarding.",https://whitelines.com/archive/news/burton-global-open-series-08-09.html | https://www.aspentimes.com/sports/from-vermont-to-vail-a-look-back-at-the-36-year-history-of-the-burton-u-s-open-returning-march-5-10/ | https://experiencequeenstown.com/events/feature-events/burton-nz-open/ | https://www.snowboarder.com/news/2010-burton-new-zealand-open-gears-up | https://whitelines.com/archive/news/mikkel-bang-jenny-jones-win-nissan-x-trail-nippon-open-parkstyle-finals.html,likely,burton-opens
burton-new-zealand-open,Burton New Zealand Open,,tour-stop,brand-run,2003,2011,unconfirmed,,New Zealand,oceania,halfpipe | slopestyle | quarterpipe,"The Southern Hemisphere opener of the Burton Global Open Series and, at its peak, the largest snowboard contest in New Zealand. Ran at Snow Park NZ near Wanaka and at Cardrona Alpine Resort, which held the country's only 22-foot superpipe.",https://info.scoop.co.nz/Burton_NZ_Open | https://www.snowboarder.com/news/2010-burton-new-zealand-open-gears-up | https://snowboardmag.com/stories/world-class-riders-arrive-wanaka-nz-2011-burton-new-zealand-open | https://experiencequeenstown.com/events/feature-events/burton-nz-open/,likely,burton-opens
burton-rail-days,Burton Rail Days,,major-contest,brand-run,,,unconfirmed,Roppongi Hills,Japan,japan,rail-jam | jib,"Burton's urban street-snowboarding contest staged in central Tokyo, built from imported snow in the Roppongi Hills arena and run alongside a free public beginner park. The 2015 edition was reported as the fifth.",https://www.timeout.com/tokyo/things-to-do/burton-rail-days,likely,burton-opens
canada-snowboard-junior-nationals,Canada Snowboard Junior National Championships,,national-championship,Canada Snowboard,,,active,,Canada,north-america,slopestyle | banked-slalom | halfpipe | parallel-giant-slalom | boardercross | big-air,"Canada Snowboard's week-long junior championship, run across Grom, Youth and JR FIS categories in six disciplines. The junior national title event feeding the Junior World Championships team.",https://www.canadasnowboard.ca/en/events/nationalsjr/ | https://www.canadasnowboard.ca/en/events/,verified,canada
canada-snowboard-national-championships,Canadian National Snowboard Championships,Sport Chek Air Nation Freestyle Nationals | Sports Experts Speed Nation Nationals | Speed Nation Alpine Nationals | Speed Nation Snowboardcross Nationals,national-championship,Canada Snowboard,,,active,,Canada,north-america,halfpipe | slopestyle | big-air | boardercross | parallel-giant-slalom | parallel-slalom | banked-slalom,"Canada's national snowboard titles, awarded by Canada Snowboard (the Canadian Snowboard Federation, founded 1991). Since at least the 2010s the championships have been split into separate freestyle, alpine, snowboardcross and para-snowboard events, each hosted at a different resort in the same season and each attached to the corresponding national tour (Air Nation for freestyle, Speed Nation for alpine/SBX/para). No single first year could be sourced.",https://www.canadasnowboard.ca/en/events/ | https://www.canadasnowboard.ca/en/news/?id=1146 | https://www.canadasnowboard.ca/en/news/?id=1213 | https://www.canadasnowboard.ca/en/news/?id=1259 | https://en.wikipedia.org/wiki/Canadian_Snowboard_Federation,verified,canada
canada-winter-games-snowboarding,Snowboarding at the Canada Winter Games,,national-championship,Canada Games Council,,,active,,Canada,north-america,parallel-giant-slalom | halfpipe | boardercross | slopestyle,"The snowboard programme of Canada's biennial multi-sport games for young athletes, contested by provincial and territorial teams. The Games rotate host provinces; snowboarding has been staged at Mt Sima (Whitehorse 2007), Ski Martock (Halifax 2011), Prince George (2015), Canyon Ski Resort and WinSport Canada Olympic Park (Red Deer 2019) and Mark Arendz Provincial Ski Park at Brookvale (PEI 2023). The first year snowboarding appeared on the programme was not sourced.",https://en.wikipedia.org/wiki/Snowboarding_at_the_2011_Canada_Winter_Games | https://en.wikipedia.org/wiki/2007_Canada_Winter_Games | https://en.wikipedia.org/wiki/2015_Canada_Winter_Games | https://en.wikipedia.org/wiki/2019_Canada_Winter_Games | https://en.wikipedia.org/wiki/2023_Canada_Winter_Games,verified,canada
circuito-bichos,Circuito Bichos,,grassroots-contest,"Anden (Chilean snowboard association, WSF member)",,,unconfirmed,,Chile,south-america,boardercross | slopestyle | downhill,"Chile's under-18 snowboard tour run by the national association Anden, in three age categories (Saltamontes, Grillos, Pulgas) across fun race/boardercross, downhill and slopestyle at the Santiago-area resorts. Anden also ran the professional Circuito RSS (Ranking Ski y Snowboard), a combined freestyle ranking for skiers and snowboarders.",https://www.worldsnowboardfederation.org/chile-snowboard-events-2009/,likely,intl-other
coors-light-saint-sauveur-mountain-challenge,Coors Light Saint-Sauveur Mountain Challenge,,grassroots-contest,brand-run,2010,,unconfirmed,Mont Saint-Sauveur,Canada,north-america,other,"Quebec event at Mont Saint-Sauveur which SnowboardQuebec's provincial history records as starting in 2010. Format, disciplines and end date not sourced.",https://www.snowboardquebec.com/histoire/,likely,canada
coupe-quebec-snowboard,Coupe Quebec (Quebec Snowboard Cup),,grassroots-contest,Association quebecoise de snowboard,,,active,,Canada,north-america,slopestyle | boardercross | rail-jam | parallel-giant-slalom | banked-slalom,"Quebec's provincial FIS-sanctioned circuit, listed on the SnowboardQuebec calendar as Coupe QC/FIS events. Host hills in the 2025-26 season include Val Saint-Come (rail jam, SBX), Belle-Neige (slopestyle, banked slalom, alpine) and Le Relais. Quebec's provincial federation was founded in 1987 as the Federation de Surf des Neiges du Quebec.",https://www.snowboardquebec.com/calendrier/ | https://www.snowboardquebec.com/histoire/,likely,canada
dirksen-derby,Dirksen Derby,,grassroots-contest,independent,2007,,active,Mt. Bachelor,USA,north-america,banked-slalom,"Hand-built parallel banked slalom race founded by pro snowboarder Josh Dirksen at Mt. Bachelor, Oregon, first run on December 1, 2007 as a fundraiser for Tyler Eklund, a local snowboarder paralysed in a contest earlier that year. It runs a Red (harder) and Green (friendlier) course with combined times, and includes snowboard, sit-ski and splitboard divisions. Beneficiaries have included Oregon Adaptive Sports, Protect Our Winters and the Central Oregon Avalanche Association; the organisers state more than $300,000 has been donated to non-profits and community members.",https://www.dirksenderby.com/Race/DirksenDerby/Page-10 | https://bendmagazine.com/event/dirksen-derby-18-snowboard-rally-race/2025-12-21/ | https://www.bendsource.com/outside/dirksen-derby-rally-race-returns-to-mt-bachelor-for-year-17-22369702/,verified,us-grassroots
european-world-snowboarding-championships,European World Snowboarding Championships,,legacy-contest,independent,1987,,unconfirmed,,multiple,europe,,"The rival European world championships of January 1987, run at Livigno, Italy and St Moritz, Switzerland in the same season as the second Breckenridge Worlds. The split between the two claimed world titles is what pushed NASBA and the Snowboard European Association to negotiate a single World Cup circuit.",https://www.snowboarder.com/news/snowboard-history-timeline-part-21980s | https://www.carvers.it/storia-inglese/ | https://snowboarding8090.com/history/,likely,legacy-80s-90s
fis-snowboard-junior-world-championships,FIS Snowboard Junior World Championships,FIS Freestyle Ski and Snowboarding Junior World Championships,major-contest,FIS,1997,,active,,multiple,global,halfpipe | giant-slalom | parallel-slalom | parallel-giant-slalom | boardercross | big-air | slopestyle | team,"Annual FIS age-group world championship, first held at Corno alle Scale (ITA) in February 1997. Single-venue through 2015; from 2016 onward routinely split across two to four venues in one season, and combined with freestyle skiing as the FIS Freestyle Ski and Snowboarding Junior World Championships. RESULTS ARCHIVE for a later pass: https://www.fis-ski.com/DB/general/calendar-results.html?sectorcode=SB&seasoncode=YYYY&categorycode=WJC (note: the FIS category code is WJC, not JWC), each row linking to per-race pages at https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=NNNNN.",https://www.fis-ski.com/DB/general/calendar-results.html?sectorcode=SB&seasoncode=1997&categorycode=WJC | https://www.fis-ski.com/DB/general/calendar-results.html?sectorcode=SB&seasoncode=2026&categorycode=WJC | https://en.wikipedia.org/wiki/FIS_Snowboarding_Junior_World_Championships,verified,olympics-fis
fis-snowboard-world-championships,FIS Snowboard World Championships,FIS Snowboarding World Championships,major-contest,FIS,1996,,active,,multiple,global,halfpipe | giant-slalom | slalom | parallel-slalom | parallel-giant-slalom | boardercross | big-air | slopestyle | team,"FIS's own world championship, first held at Lienz (AUT) in January 1996, two years after FIS took snowboarding under its jurisdiction and while the rival ISF was still running its own world championships. Held in odd-numbered years from 1999 onward (1996 and 1997 were run in consecutive years); skipped in Olympic years. Combined with the FIS Freestyle World Ski Championships from 2015. RESULTS ARCHIVE for a later pass: https://www.fis-ski.com/DB/general/calendar-results.html?sectorcode=SB&seasoncode=YYYY&categorycode=WSC (seasoncode = calendar year the championships were held); each event row links to per-race pages at https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=NNNNN (verified example raceid=22567, 2025 mixed parallel team).",https://www.fis-ski.com/DB/general/calendar-results.html?sectorcode=SB&seasoncode=1996&categorycode=WSC | https://www.fis-ski.com/DB/general/calendar-results.html?sectorcode=SB&seasoncode=2025&categorycode=WSC | https://en.wikipedia.org/wiki/FIS_Snowboard_World_Championships,verified,olympics-fis
fis-snowboard-world-cup,FIS Snowboard World Cup,,tour-series,FIS,1994,,active,,multiple,global,halfpipe | giant-slalom | slalom | parallel-slalom | parallel-giant-slalom | boardercross | big-air | slopestyle | team,"FIS's season-long snowboard tour. The FIS results database holds no World Cup events before the 1994/95 season; the first World Cup stop on record is Zell am See/Kaprun (AUT), 24-26 November 1994. Edition rows here are SEASONS, keyed to the season end year, not individual stops. RESULTS ARCHIVE for a later pass: season calendars at https://www.fis-ski.com/DB/general/calendar-results.html?sectorcode=SB&seasoncode=YYYY&categorycode=WC ; per-race results at https://www.fis-ski.com/DB/general/results.html?sectorcode=SB&raceid=NNNNN ; season Crystal Globe / cup standings at https://www.fis-ski.com/DB/general/cup-standings.html?sectorcode=SB&seasoncode=YYYY&cupcode=WC&disciplinecode=ALL&gendercode=M (or gendercode=L) - all three patterns verified.",https://www.fis-ski.com/DB/general/calendar-results.html?sectorcode=SB&seasoncode=1994&categorycode=WC | https://www.fis-ski.com/DB/general/calendar-results.html?sectorcode=SB&seasoncode=1995&categorycode=WC | https://www.fis-ski.com/DB/general/cup-standings.html?sectorcode=SB&seasoncode=2026&cupcode=WC&disciplinecode=ALL&gendercode=M,verified,olympics-fis
focus-banked-slalom,Focus Banked Slalom,,grassroots-contest,independent,,,active,Tyrol Basin,USA,north-america,banked-slalom,"Midwest banked slalom at Tyrol Basin, Wisconsin. Local Freshies describes the March 1, 2026 edition as 'now in its 19th year'.",https://localfreshies.com/banked-slalom-event-showcase/,likely,us-grassroots
freestyle-ch,freestyle.ch,Nescafe Zueri Inline,major-contest,independent,1995,,unconfirmed,"Landiwiese, Zurich",Switzerland,europe,big-air,"Urban big air staged on the Landiwiese on Lake Zurich each September, part of a four-discipline freestyle festival (snowboard, freeski, FMX, skate) drawing around 100,000 spectators. Began in 1995 as Nescafe Zueri Inline; admission became paid in 2005.",https://de.wikipedia.org/wiki/Freestyle.ch,likely,intl-other
gravity-games-winter,Winter Gravity Games,,major-contest,independent,2000,2000,defunct,Mammoth Mountain,USA,north-america,superpipe | big-air | boardercross,"Winter edition of the NBC/Octagon-backed Gravity Games, staged once at Mammoth Mountain, California in 2000 as a broadcast rival to Winter X Games. Not repeated.",https://en.wikipedia.org/wiki/Gravity_Games,likely,xgames-dewtour
halo-halo-timberline,Halo-Halo,,grassroots-contest,independent,2023,,active,Timberline Lodge and Ski Area,USA,north-america,,"BIPOC-focused summer snowboard gathering on the Palmer snowfield at Timberline, Mt. Hood, Oregon, started in 2023. The 2026 edition is listed for July 10-12. Whether it is judged as a contest or run as a session was not confirmed in this pass.",https://www.snowboard.international/features/north-america-snowboard-events-2025-26/,likely,us-grassroots
holy-oly-revival,Holy Oly Revival,,grassroots-contest,independent,2004,,dormant,The Summit at Snoqualmie,USA,north-america,quarterpipe | jib | rail-jam,"A Snowboy Productions grassroots contest at The Summit at Snoqualmie, Washington, built around a quarterpipe and a jib playground ('Tube City') beneath the Olympia beer can water tower at Summit East. It is a quarterpipe and jib jam, not a banked slalom. Winners received cases of Olympia beer. The Snowboarder's Journal describes the quarterpipe events as running about eight years.",https://www.snowboarder.com/news/7th-annual-holy-oly-the-olympic-hangover-cure | https://www.lib-tech.com/blog/2007/02/14/holy-crap-it%E2%80%99s-the-fourth-annual-holy-oly-revival/ | https://thesnowboardersjournal.com/blogs/exclusives/twenty-years-snowboy-productions | https://www.gnu.com/blog/2010/02/24/holy-oly-you-can%E2%80%99t-spell-olympics-without-oly/ | http://thesummitcrew.blogspot.com/p/history-of-summit.html,likely,us-grassroots
hot-dawgz-and-hand-rails,Hot Dawgz & Hand Rails,,grassroots-contest,brand-run,2004,,dormant,Bear Mountain,USA,north-america,rail-jam | jib,"Southern California's pre-season rail jam, run at Bear Mountain (later Snow Summit) in Big Bear Lake, California, on trucked-in man-made snow in September - traditionally the first major rail contest of the North American season. Jam format on urban-style features. First held in 2004; the 2012 edition was the ninth annual and used 130 tons of snow for about 40 pro riders.",https://www.firsttracksonline.com/2012/09/07/hot-dawgz-and-hand-rails-pre-season-rail-jam-returns-to-bear-mountain/ | https://localfreshies.com/event/hot-dawgz-and-hand-rails-2019-big-bear/,likely,us-grassroots
isf-snowboard-world-championships,ISF World Championships,,major-contest,ISF (International Snowboard Federation),1993,,defunct,,multiple,global,halfpipe | giant-slalom | slalom | boardercross,"The snowboarders' own world championship, run by the International Snowboard Federation (founded 1989 as the ISA, renamed ISF 1991) and held for the first time at Ischgl, Austria in 1993. From 1996 the ISF and FIS ran rival world championships in the same seasons; the split drove Terje Haakonsen's boycott of the 1998 Nagano Olympic qualification, since the IOC gave FIS rather than the ISF control of Olympic snowboarding. The ISF filed for bankruptcy in Innsbruck and ceased operating on 22 June 2002, ending the rival championship. NO CENTRAL RESULTS ARCHIVE FOUND - see open_questions.",https://www.snowboarder.com/news/snowboard-history-timeline-part-31990s | https://en.wikipedia.org/wiki/International_Snowboard_Federation | https://de.wikipedia.org/wiki/International_Snowboarding_Federation | https://en.wikipedia.org/wiki/Terje_H%C3%A5konsen,likely,olympics-fis
isf-world-championships,ISF Snowboard World Championships,,major-contest,ISF,1993,1999,defunct,,multiple,global,halfpipe | giant-slalom | slalom | parallel-slalom | boardercross | other,"The world championship of the International Snowboard Federation, the riders' governing body of the 1990s. German Wikipedia states four ISF world championships were held between 1993 and 1999. The ISF's own successor (WSF) dates the federation's founding to 1990, when five nations and 120 racers formed it; English Wikipedia instead dates it to 1989 in Vancouver as the International Snowboard Association, renamed ISF in 1991. The ISF ceased operations on 22 June 2002.",https://de.wikipedia.org/wiki/Snowboard-Weltmeisterschaft | https://en.wikipedia.org/wiki/International_Snowboard_Federation | https://www.worldsnowboardfederation.org/inside-wsf/history/ | https://www.snowboarder.com/news/snowboard-history-timeline-part-31990s | https://www.carvers.it/storia-inglese/,likely,legacy-80s-90s
isf-world-snowboarding-championships,ISF World Snowboarding Championships,Motorola ISF World Championships,major-contest,ISF (International Snowboard Federation),1993,,defunct,,multiple,global,halfpipe | boardercross | other,"The rider-run International Snowboard Federation's world championship, and the counterweight to the FIS world championships of the 1990s. The first was held at Ischgl, Austria in 1993. By 1999/2000 the title was contested across a season-long Motorola ISF World Pro Tour rather than a single meeting. The ISF was dissolved in 2002.",https://www.snowboarder.com/news/snowboard-history-timeline-part-31990s | https://www.sportcal.com/pressreleases/the-motorola-isf-world-championships-1999-2000-halfpipe-davos-sui/ | https://de.wikipedia.org/wiki/Snowboard-Weltmeisterschaften,likely,intl-other
jla-mammoth-banked-slalom,JLA Mammoth Banked Slalom,,grassroots-contest,independent,,,active,Mammoth Mountain,USA,north-america,banked-slalom,Banked slalom at Mammoth Mountain honouring the legacy of pro snowboarder Jeff Anderson (JLA). Local Freshies notes it celebrated its 10th anniversary in 2013 and lists the 2026 edition for February 27-March 1.,https://localfreshies.com/banked-slalom-event-showcase/,likely,us-grassroots
jsba-all-japan-snowboard-championships,JSBA All Japan Snowboard Championships,JSBA全日本スノーボード選手権大会,national-championship,JSBA (Japan Snowboarding Association),1983,,active,,Japan,japan,halfpipe | slopestyle | boardercross | big-air | giant-slalom | dual-slalom,"Japan's national amateur snowboard championship, run by the JSBA and reached through regional and G1 qualifying events. The 41st edition in 2023 is described on the JSBA site as annual since 1983; the JSBA's own history page states the first All Japan championship was staged in 1982 at Kyowa Ski Resort, Akita, with the previous year's North American champion invited. Programme covers halfpipe, slopestyle, snowboard cross, straight jump (big air), giant slalom and dual slalom; venues rotate and a single edition often splits across two resorts.",https://www.jsba.or.jp/information/history/ | https://www.jsba.or.jp/ajsc_site/ajsc41/ | https://www.jsba.or.jp/ajsc_site/ajsc43/,likely,intl-other
jsba-all-japan-snowboard-technical-championships,JSBA All Japan Snowboard Technical Championships,JSBA全日本スノーボードテクニカル選手権大会,national-championship,JSBA (Japan Snowboarding Association),,,active,,Japan,japan,other,"JSBA championship judging overall riding ability rather than tricks or times, in Alpine and Freestyle categories for men and women plus a club team competition. Regional qualifiers run three events, the national final five. The 33rd edition was held in the 2025/26 season.",https://www.jsba.or.jp/education/ajstc/ | https://www.jsba.or.jp/ajstc_site/ajstc33/,likely,intl-other
